user_id,item_id
114571520,320874652
11759070,88640862
21128922,244857111
27802109,249656709
27226408,194203743
41283289,291101455
27802109,248472943
119163438,312213454
136154031,274780347
45649043,62969585
62561606,95806098
129162123,233370248
17980234,172420461
62561606,138348629
45649043,92123803
138442240,38063851
14073732,239991623
36219062,322277888
132764240,323206027
28701587,339822694
62561606,375416896
62561606,35299563
129162123,8107604
11244543,358655474
137318196,216372560
50325088,113033221
129162123,181098520
21619785,345504016
129162123,45305082
40528453,319719400
132764240,301315473
11244543,233292190
26882464,15460711
5538350,371523534
44110985,248339103
27880085,125929317
61776800,48298562
117209225,373682094
132502691,147699590
41632219,334631668
64792062,31711538
51051799,213201740
39970946,215008978
49060518,367257136
100226515,326454793
48449895,259269741
17219776,128702084
58650579,79626687
25966114,280643516
116523407,360817002
128066361,312946168
43121491,297104546
114591917,302256354
139332508,140724759
132424760,69977335
47671268,49516306
102030700,39374891
105425264,209873828
17939047,306263436
119385372,90520270
132764240,110753746
28701587,77002573
30480882,342372325
115512791,254759190
105425264,112053808
47913800,195065436
110115430,324276166
137882256,45334865
30919120,264753382
129719412,240482089
41283289,106015853
44110985,369565869
13709817,299941043
112721758,305923855
11244543,239392671
137025147,391264839
13749945,392339541
113981156,396383018
115335440,342965235
47380556,69282199
102831484,134674087
22018449,285163048
65156859,384533905
45542840,382441689
28140683,341611541
103823974,37910916
13678830,193005655
49139898,88270535
454872,47005484
123265349,202665859
42354574,394767028
43121491,77000666
129719412,137866200
40528453,24106739
62321270,58259674
111314602,6963167
40406632,220220470
136154031,240907764
21902688,102266772
117909027,391429732
27880085,17838188
117209225,37114448
123746669,2974361
57977424,136947889
22805449,82201230
140483078,99558990
21902688,282620080
35415470,316366152
5193719,14024370
25966114,139425971
133629062,73226015
132764240,305077427
28883723,260226898
119643342,328344982
6232766,303887805
120319045,391597872
28254671,21519397
138865057,265903997
56993964,305742819
12612606,377315497
136622436,295672224
102115747,372271027
137025147,231301770
108170081,282182094
105001355,361687459
49060518,150745281
23666668,12102374
100572118,343505443
20752626,156859285
133747292,169300484
122040080,6847603
47585504,342219507
28180583,106812294
61902875,184120970
52867640,38040932
29518607,348058523
105718427,198147769
115307135,92365997
13795569,3285422
140948903,214309442
120306985,75693482
42873856,25790243
64019348,54834297
108034286,308288406
