宝龙广场,661,青枫公园,钟楼
世茂香槟湖,1453,河海路,新北
南湖家苑,223,阳湖路,武进
绿地世纪城,1734,五星,钟楼
中央花园,276,市民广场,新北
星河国际,1223,安定路,武进
翠竹新村,760,翠竹,天宁
丽华一村,1085,红梅公园,天宁
凤凰名城,225,华山路,新北
高成天鹅湖,1468,红梅公园,天宁
金色新城,669,怀德,钟楼
华润国际社区,439,茶山,天宁
公园壹号花园,1028,潞城,戚墅堰
典雅花园,878,市民广场,新北
银河湾第一城,1548,勤业,新北
九洲花园,1279,汉江路,新北
南河花园小区,2202,大学城南,武进
怡康花园,545,博爱路,天宁
天山花园,1477,勤业,钟楼
滨江明珠城,990,华山路,新北
百草苑,765,奥体中心,新北
水晶城,303,紫云,天宁
彩虹城,970,奥体中心,天宁
怀德苑,375,怀德,钟楼
学府东苑,2639,龙跃路,武进
紫禁城小区,868,安定路,武进
凯旋城,576,三角场,天宁
玉龙湾花园,1486,怀德,新北
天隽峰,818,长虹路,武进
阳湖名城,1783,长虹路,武进
香江华廷花园,616,勤业,钟楼
藻江花园,379,奥体中心,新北
百馨西苑,1134,北海路,新北
中意宝第,882,怀德,钟楼
陈渡新苑,1750,五星,钟楼
前桥小区,2225,怀德,新北
丽华二村,1287,红梅公园,天宁
常信怀德名园,377,河海路,新北
清潭新村,1165,勤业,钟楼
中天名园,1623,茶山,武进
天安花园,241,河海路,天宁
世纪华城,1794,勤业,天宁
香缇湾花园,979,博爱路,新北
新城长岛,2096,勤业,武进
采菱公寓,1958,紫云,天宁
盛世名门,735,博爱路,天宁
锦海星城,1153,华山路,新北
府西花园,872,市民广场,新北
和平国际,508,茶山,天宁
新城南都雅苑,359,长虹路,武进
方圆云山诗意,1466,五星,钟楼
腾龙苑,493,华山路,新北
青山湾小区,872,南大街,天宁
天润园小区,602,河海路,新北
京城豪苑,244,南大街,钟楼
邹新花园,6052,青枫公园,武进
北环新村,507,翠竹,天宁
香江壹品,966,茶山,武进
蓝天花园,798,五星,钟楼
勤德家园,792,怀德,钟楼
机械新村,1058,怀德,钟楼
玲珑花园,1925,汉江路,新北
浦南新村,599,茶山,天宁
河景花园,245,怀德,钟楼
喜盈门花苑,1884,茶山,武进
梧桐苑,1295,青枫公园,钟楼
荣哼逸都小区,1453,勤业,钟楼
紫云苑,363,紫云,天宁
河苑家园,1883,潞城,武进
星鑫家园,890,五星,钟楼
清凉新村,217,光华路,天宁
南博湾花园,1817,常州北站,新北
太湖明珠苑,1471,市民广场,新北
星港花苑,910,青枫公园,钟楼
景秀世家,1248,奥体中心,新北
长江花苑,5202,北海路,新北
桂花园,1743,五星,钟楼
新闸花苑,1470,海棠路,钟楼
凯尔枫尚花园,332,青枫公园,钟楼
清水湾,896,华山路,新北
红梅新村,356,五角场,天宁
水木年华花园,493,奥体中心,新北
花园新村,1081,五星,钟楼
荆川里小区,1527,勤业,钟楼
金梅花园,1595,南大街,钟楼
新天地花苑,721,博爱路,天宁
白云新村,757,海棠路,钟楼
璞丽湾花园,404,怀德,钟楼
采菱家园,3419,紫云,武进
绿洲家园,618,奥体中心,新北
圣·巴塞耶怡美花园,1308,海棠路,钟楼
新龙花苑,598,华山路,新北
青竹苑,1479,三角场,天宁
名仕佳园,531,大学城南,武进
南甸苑,806,广电路,武进
勤业四村,199,勤业,钟楼
润德半岛,557,市民广场,天宁
万水美兰城,1111,青枫公园,钟楼
聚博花园,229,翠竹,天宁
南苑小区,2134,南夏墅,武进
锦阳花苑,1679,勤业,钟楼
高成莱茵花苑,220,勤业,钟楼
朗诗国际街区,832,勤业,钟楼
新魏花园小区,4471,新桥,新北
新城尚东区花园,593,三角场,天宁
西新桥三村,1047,怀德,钟楼
绿园,2127,五星,钟楼
南隆家园,393,南夏墅,武进
枫逸人家,1053,青枫公园,钟楼
青洋花苑,491,清洋路,戚墅堰
祥龙苑,1865,河海路,新北
御源林城,806,青枫公园,钟楼
蔷薇家园,1355,红梅公园,天宁
佳兆业凤凰湖壹号,2962,海棠路,新北
青枫公馆,63,海棠路,钟楼
长虹花苑,4190,长虹路,武进
金谷花园,1009,勤业,钟楼
兆丰花苑,516,五角场,天宁
丰乐公寓,825,长虹路,武进
阳湖世纪苑,1095,广电路,武进
湖滨花苑小区,7436,青枫公园,武进
盛世华城,52591,青枫公园,溧阳
锦湖公寓,284,聚湖路,武进
府琛花园,769,市民广场,新北
富都小区,542,黄河路,新北
中凉新村,617,聚湖路,天宁
兰陵尚品花园,847,聚湖路,天宁
都市桃源,715,勤业,钟楼
嘉顺花园,1381,市民广场,新北
鹏欣丽都,480,南大街,钟楼
锦绣东苑,338,市民广场,天宁
兰翔新村,424,河海路,新北
府琛商务广场,936,市民广场,新北
金鸡花园,579,聚湖路,武进
永宁花园,106,翠竹,天宁
常发豪庭国际,122,奥体中心,新北
长安家园,2136,广电路,武进
香树湾·福园,1385,河海路,新北
九龙仓国宾1号,1143,河海路,新北
新城首府,872,南大街,钟楼
金玉苑,1100,青枫公园,钟楼
沈家花苑,2664,五星,武进
蓝色港湾花园,557,汉江路,新北
文渊居,1442,广电路,武进
运河花园,182,青枫公园,钟楼
金百花园,1454,南大街,钟楼
九洲新家园,708,茶山,天宁
枫林雅都,350,青枫公园,钟楼
朝阳三村,501,红梅公园,天宁
嘉宏盛世,564,南大街,天宁
泰山一村,1935,常州北站,新北
府北新村,555,长虹路,武进
清潭六村,816,勤业,钟楼
富强新村,1166,光华路,天宁
西城格兰艺堡,1269,勤业,钟楼
红梅东村小区,270,三角场,天宁
浦北新村,574,光华路,天宁
上书房,1155,勤业,钟楼
东方福郡,160,潞城,戚墅堰
空港二村,10019,青枫公园,新北
西湖家园,8257,青枫公园,武进
橄榄城,3220,新桥,新北
龚家名园,1321,茶山,武进
府河名居,618,红梅公园,天宁
吟枫苑,711,河海路,新北
红梅西村,267,五角场,天宁
湾里新村,177,广电路,武进
香梅花园,525,五角场,天宁
白云东苑,666,五星,钟楼
花之园,553,勤业,钟楼
瑞丰花苑,6150,五一路,武进
荷花池小区,391,南大街,钟楼
聚缘雅居,528,五角场,天宁
摩尔上品,1066,大学城南,武进
金水湾小区,33471,青枫公园,金坛
阳光花园,224,河海路,新北
银河湾星苑,180,翠竹,天宁
国泰名都,1191,茶山,天宁
蓝色星空,792,怀德,钟楼
金江苑,31115,青枫公园,金坛
银河湾,597,勤业,钟楼
燕兴小区,601,汉江路,新北
顺园二村,2960,新桥,新北
丽景花园,267,博爱路,天宁
金都名苑,137,武进区,武进
东城明居,803,五角场,天宁
北环南村,813,三角场,天宁
龙栖花园,1578,汉江路,新北
紫阳花园,872,怀德,钟楼
潞城花苑小区,840,潞城,戚墅堰
人民家园,243,光华路,天宁
青枫壹号,859,青枫公园,钟楼
长虹名苑,4148,安定路,武进
丰乐尚都,671,大学城北,武进
昆仑花园,49886,青枫公园,溧阳
金田雅居,380,黄河路,新北
茂业豪园,464,长虹路,武进
万福花园,1058,南大街,钟楼
翡翠湾,285,勤业,钟楼
大诚苑,199,奥体中心,新北
江南春晓花园,1755,市民广场,新北
晓柳花苑,2096,大学城北,武进
公园大厦,390,南大街,天宁
同济花园,400,红梅公园,天宁
虹景花园小区,822,三角场,天宁
景泰家园,859,光华路,溧阳
景鸿花园,52757,青枫公园,溧阳
聚和家园,640,博爱路,天宁
方正大厦,907,勤业,钟楼
东坡雅居,635,五角场,天宁
大学-新村,257,大学城南,武进
芦墅广景苑,1099,勤业,钟楼
同德苑,6633,青枫公园,武进
奥林匹克花园别墅,2926,新桥,新北
花园西村,1118,五星,钟楼
锦江丽都花园,1167,怀德,钟楼
景福苑,613,红梅公园,天宁
圩墩新村,2393,五一路,戚墅堰
丽华三村新区,1490,红梅公园,天宁
景潭花园,34544,青枫公园,金坛
安家苑,5300,新桥,新北
天豪大厦,1217,武进区,武进
花东二村,406,广电路,武进
桃园公寓,324,红梅公园,天宁
