宝龙广场,31.80031,119.901303,常州市钟楼区茶花路南门,钟楼,
世茂香槟湖,31.820935,120.004756,江苏省常州市新北区太湖东路19号,新北,
南湖家苑,31.652619,119.959186,常州市武进区凤翔路12号,武进,
绿地世纪城,31.82656,119.93006,常州市钟楼区龙城大道与龙江路交汇处西南侧,钟楼,
中央花园,31.806276,119.983696,新北晋陵北路以东龙城大道以南,新北,
星河国际,31.719257,119.944884,江苏省常州市武进区玉塘路与广电西路交叉口东南角,武进,
翠竹新村,31.801079,119.989175,常州天宁区永宁北路11号,天宁,
丽华一村,31.75847,119.983705,丽华一村,天宁,
凤凰名城,31.857789,119.975747,辽河路61号,新北,
高成天鹅湖,31.753832,119.986644,常州市天宁区丽华北路59号,天宁,
金色新城,31.792351,119.955055,常州市钟楼区新市路1号,钟楼,
华润国际社区,31.74963,119.964268,天宁和平路与中吴大道交界处,天宁,
公园壹号花园,31.761258,120.047374,常州市戚墅堰区东方大道186-188号公园壹号花园内(近戚区新政府),戚墅堰,
典雅花园,31.816809,119.974759,常州市新北区通江中路3号,新北,
银河湾第一城,31.814295,119.943741,常州市新北区三井街道南湖路,新北,
九洲花园,31.852464,119.998863,江苏省常州市新北区龙业路,新北,
南河花园小区,31.66683,119.935142,江苏省常州市武进区龙飞路,武进,
怡康花园,31.796042,119.971545,关河中路70,天宁,
天山花园,31.818145,119.933468,飞龙西路95号,钟楼,
滨江明珠城,31.874688,119.979158,华山北路北郊中学东北方向900米,新北,
百草苑,31.81273,119.994674,江苏省常州市新北区百草苑9幢-8号,新北,
水晶城,31.776039,120.014804,江苏省常州市天宁区东方西路与横塘河东路交叉口,天宁,
彩虹城,31.805648,119.994642,永宁北路29号(外环路与永宁北路交汇处),天宁,
怀德苑,31.783899,119.946904,江苏省常州市钟楼区怀德中路77号,钟楼,
学府东苑,31.675318,119.978301,大学城一带鸣新东路226号,武进,
紫禁城小区,31.727415,119.947635,江苏省常州市武进区武宜北路13号,武进,
凯旋城,31.792739,119.99869,江苏省常州市天宁区凯旋城36,天宁,
玉龙湾花园,31.811625,119.952278,常州市常州市飞龙路10号,新北,
天隽峰,31.711196,119.962206,江苏省常州市武进区长虹路8号,武进,
阳湖名城,31.713601,119.970798,常州市武进区长安路9,武进,
香江华廷花园,31.782483,119.938463,钟楼区怀德中路95号,钟楼,
藻江花园,31.810658,119.988638,天目山路23号附近,新北,
百馨西苑,31.92632,119.966931,常州市新北区祁连山路附近,新北,
中意宝第,31.783298,119.942348,怀德中路115,钟楼,
陈渡新苑,31.769016,119.920847,常州市钟楼区紫荆西路381号,钟楼,
前桥小区,31.825023,119.952251,常州市新区前桥,新北,
丽华二村,31.753327,119.98124,中吴大道,天宁,
常信怀德名园,31.830409,119.994804,常州市新北区黄山路112号,新北,
清潭新村,31.773632,119.940684,江苏省常州市钟楼区清潭路清潭新村,钟楼,
中天名园,31.735999,119.974161,人民东路与降子北路交汇处,武进,
天安花园,31.830433,119.991013,常州市天宁区周线巷10-2号(元丰桥附近),天宁,
世纪华城,31.761443,119.930068,常州市天宁区中吴大道1688号,天宁,
香缇湾花园,31.803875,119.970623,常州市新北区常澄路18号,新北,
新城长岛,31.754478,119.932854,常州长江南路88号(新312国道与长江南路交汇处),武进,
采菱公寓,31.746586,120.002027,江苏省常州市天宁区离宫路,天宁,
盛世名门,31.800646,119.975607,江苏省常州市天宁区晋陵中路562号,天宁,
锦海星城,31.879538,119.97765,长江北路与新四路交叉处,新北,
府西花园,31.820753,119.97657,通江中路和太湖西路交汇处东南角,新北,
和平国际,31.757612,119.968886,常州市天宁区中吴大道1150号,天宁,
新城南都雅苑,31.712748,119.95195,武进常州市武进湖塘花园街168号,武进,
方圆云山诗意,31.777867,119.914692,怀德中路209号,钟楼,
腾龙苑,31.861403,119.978456,腾龙苑22-18号,新北,
青山湾小区,31.797875,119.965969,天宁区晋陵北路农工商超市以北通济新村旁,天宁,
天润园小区,31.826175,119.997419,常州市新北区河海东路156号,新北,
京城豪苑,31.787721,119.963209,常州钟楼区局前街180号,钟楼,
邹新花园,31.785314,119.852378,江苏省常州市武进区新西路,武进,
北环新村,31.794249,119.986025,江苏省常州市天宁区竹林西路,天宁,
香江壹品,31.74016,119.964748,金鸡东路16号香江壹品,武进,
蓝天花园,31.787226,119.924206,江苏省常州市钟楼区星园路,钟楼,
勤德家园,31.78667,119.94314,勤业路77号,钟楼,
机械新村,31.800487,119.944545,关河西路131号(西新桥一带),钟楼,
玲珑花园,31.849754,120.005051,新北区与恐龙园一衣带水距沪宁高速公路常州通江大道出入口约800米,新北,
浦南新村,31.762182,119.959453,江苏省常州市天宁区晋陵南路36-、38号,天宁,
河景花园,31.783434,119.952242,劳动西路108号,钟楼,
喜盈门花苑,31.735693,119.97726,常州市武进区大通东路179号,武进,
梧桐苑,31.79515,119.896036,常州市钟楼区北港街道茶花路,钟楼,
荣哼逸都小区,31.767534,119.930677,荆川东路23号,钟楼,
紫云苑,31.770985,120.009713,常州市天宁区横塘河东路89弄,天宁,
河苑家园,31.727539,120.055575,劳动东路217号,武进,
星鑫家园,31.809382,119.928129,常州市钟楼区星鑫家园7-4,钟楼,
清凉新村,31.765671,119.968189,光华路30号,天宁,
南博湾花园,31.82895,119.966202,常州市新北区泰山路195号,新北,
太湖明珠苑,31.824017,119.970769,江苏省常州市新北区新北太湖中路14号,新北,
星港花苑,31.813032,119.897577,星港路112号(星港路北侧，玉龙路西侧),钟楼,
景秀世家,31.807082,119.998164,新北区东临龙锦路、北靠北塘河、西邻彩虹城、南为永宁路,新北,
长江花苑,31.967325,119.935633,江苏省常州市新北区魏安路78号,新北,
桂花园,31.770189,119.917388,紫荆西路325号,钟楼,
新闸花苑,31.830938,119.914981,飞龙西路158号附近,钟楼,
凯尔枫尚花园,31.808377,119.902495,钟楼区经济开发区星港大道以南，青枫公园西侧约750米,钟楼,
清水湾,31.876085,119.973119,江苏省常州市新北区长江北路东侧(滨江明珠城西侧),新北,
红梅新村,31.785149,119.992524,江苏省常州市天宁区飞龙东路,天宁,
水木年华花园,31.815192,119.992504,常州市龙锦路与天目山路交叉口,新北,
花园新村,31.781962,119.924406,怀德中路63号,钟楼,
荆川里小区,31.764367,119.935146,常州市钟楼区瞿家村214号,钟楼,
金梅花园,31.813578,119.960157,常州市钟楼区泰山南路1号,钟楼,
新天地花苑,31.794844,119.968735,江苏省常州市天宁区关河中路88-9号(青山桥北边),天宁,
白云新村,31.790921,119.915451,白云路15-1号,钟楼,
璞丽湾花园,31.790918,119.947982,钟楼西仓街35号（原酿酒总厂地块）,钟楼,
采菱家园,31.716916,120.002773,常州武进河东街与凤凰南路交汇处的东南方向,武进,
绿洲家园,31.810372,119.992503,江苏省常州市新北区绿洲路,新北,
圣·巴塞耶怡美花园,31.783434,119.909312,江苏工业学院西南，怡和花园向西约300米,钟楼,
新龙花苑,31.867325,119.978043,常州市新北区新龙花苑东区,新北,
青竹苑,31.80444,120.004479,江苏省常州市天宁区龙锦路81号,天宁,
名仕佳园,31.679909,119.958772,鸣新中路31号,武进,
南甸苑,31.718858,119.962285,常州市武进区广电西路523号,武进,
勤业四村,31.791923,119.93729,常州市钟楼区勤业路2号(勤业路与勤小路交界处),钟楼,
润德半岛,31.803447,119.977182,江苏省常州市天宁区飞龙东路150号,天宁,
万水美兰城,31.800646,119.896355,常州市怀德中路42号(玉龙路以东、梧桐路以北、水衫路以南、玫瑰路以西),钟楼,
聚博花园,31.803814,119.98212,晋陵中路623,天宁,
南苑小区,31.637754,119.939239,江苏省常州市武进区武宜路附近,武进,
锦阳花苑,31.764356,119.929213,常州市钟楼区锦阳花苑25幢,钟楼,
高成莱茵花苑,31.793277,119.933644,江苏省常州市钟楼常州市勤业路136号,钟楼,
朗诗国际街区,31.779127,119.93154,钟楼区长江中路259号（长江路与怀德南路交界处）,钟楼,
新魏花园小区,31.906601,119.925654,常州市新北区南海路8号,新北,
新城尚东区花园,31.792091,119.992837,常州市天宁区竹林北路32号,天宁,
西新桥三村,31.802982,119.953324,江苏省常州市钟楼区港务路,钟楼,
绿园,31.762223,119.920955,江苏省常州市钟楼区湖滨路1号,钟楼,
南隆家园,31.634054,119.956887,常州市龙颜路和凤栖路南150米,武进,
枫逸人家,31.809745,119.896024,常州市钟楼区星港大道5号,钟楼,
青洋花苑,31.765859,120.017793,常州市戚墅堰区青洋中路211,戚墅堰,
祥龙苑,31.847403,120.005141,龙业路88号,新北,
御源林城,31.802261,119.89901,常州市钟楼区御源林城21栋,钟楼,
蔷薇家园,31.75643,119.986771,丽华北路61号(丽华路与中吴大道交汇处),天宁,
佳兆业凤凰湖壹号,31.857285,119.918407,江苏省常州市新北区汉江路112号(汉江路以北薛冶路以东),新北,
